日塗工番号,色名,HEX
N-95,ホワイト,#FFFFFF
N-75,ライトグレー,#BDBCBC
N-45,ダークグレー,#616669
02-80H,ペールレッド,#F5B0BB
P02-80H,ペールレッド,#F5B0BB
05-90A,ホワイト,#FEF9F6
P05-90A,ホワイト,#FEF9F6
05-92B,ホワイト,#FFFFFF
P05-92B,ホワイト,#FFFFFF
05-90D,ホワイト,#FDECE9
P05-90D,ホワイト,#FDECE9
05-70L,ライトレッド,#E88693
P05-70L,ライトレッド,#E88693
N-93,ホワイト,#FFFFFF
N-72,ライトグレー,#B7B5B5
N-40,グレイッシュライトブルー,#52575A
02-80L,ペールレッド,#F8A3B3
P02-80L,ペールレッド,#F8A3B3
05-85A,ホワイト,#EFE3E3
P05-85A,ホワイト,#EFE3E3
05-90B,ホワイト,#FEFCF7
P05-90B,ホワイト,#FEFCF7
05-80L,ペールレッド,#F8A7AD
P05-80L,ペールレッド,#F8A7AD
07-70L,ライトレッド,#E88277
P07-70L,ライトレッド,#E88277
N-90,ホワイト,#FFFEFC
N-70,ライトグレー,#B0B1B0
N-35,ダークグレー,#464A4A
02-70T,ライトレッド,#F4728F
P02-70T,ライトレッド,#F4728F
05-80A,オフホワイト,#DDD6D3
P05-80A,オフホワイト,#DDD6D3
05-85B,ホワイト,#F6E6E6
P05-85B,ホワイト,#F6E6E6
05-60L,レッド,#C5707B
P05-60L,レッド,#C5707B
07-60T,レッド,#EB5A5B
P07-60T,レッド,#EB5A5B
N-87,ホワイト,#FDFBF5
N-67,グレー,#AAA9AC
N-30,ダークグレー,#3B403E
02-60H,マゼンタ,#B27A89
P02-60H,マゼンタ,#B27A89
05-75A,ライトグレー,#D0C5C5
P05-75A,ライトグレー,#D0C5C5
05-80B,ペールレッド,#EAD5D7
P05-80B,ペールレッド,#EAD5D7
05-80D,ペールレッド,#E4C7C8
P05-80D,ペールレッド,#E4C7C8
07-50L,レッド,#A85A5C
P07-50L,レッド,#A85A5C
N-85,ホワイト,#F5F3EC
N-65,グレー,#A0A1A2
N-25,ダークグリーン,#323831
05-60F,ソフトレッド,#B0868D
P05-60F,ソフトレッド,#B0868D
05-70A,ライトグレー,#BEB4B4
P05-70A,ライトグレー,#BEB4B4
05-75B,ライトレッドオレンジ,#D9C7C3
P05-75B,ライトレッドオレンジ,#D9C7C3
05-70D,ソフトレッド,#C4A6AA
P05-70D,ソフトレッド,#C4A6AA
07-40P,レッド,#903B32
P07-40P,レッド,#903B32
N-82,オフホワイト,#E9E7E0
N-60,グレー,#929396
N-20,ダークグリーン,#292D29
05-60D,ソフトレッド,#A28C8E
P05-60D,ソフトレッド,#A28C8E
05-60B,グレー,#9C9195
P05-60B,グレー,#9C9195
05-70B,ソフトレッド,#C2AFB3
P05-70B,ソフトレッド,#C2AFB3
05-50F,ソフトレッド,#8E6D71
P05-50F,ソフトレッド,#8E6D71
07-30L,レッドオレンジ,#662E22
P07-30L,レッドオレンジ,#662E22
N-80,ライトグレー,#DBD9D5
N-55,グレー,#838689
N-15,ダークグリーン,#222A23
05-50D,ソフトレッド,#887276
P05-50D,ソフトレッド,#887276
05-50B,グレー,#7C7479
P05-50B,グレー,#7C7479
05-30B,ダークオレンジ,#3E3833
P05-30B,ダークオレンジ,#3E3833
05-40F,グレイッシュレッド,#725252
P05-40F,グレイッシュレッド,#725252
07-30F,ダークレッド,#2F1A18
P07-30F,ダークレッド,#2F1A18
N-77,ライトグレー,#CDCEC7
N-50,グレー,#72777B
N-10,ダークグリーン,#171D17
05-40D,グレイッシュレッド,#665253
P05-40D,グレイッシュレッド,#665253
05-40B,グレイッシュレッドオレンジ,#5E5856
P05-40B,グレイッシュレッドオレンジ,#5E5856
05-20B,ダークイエローオレンジ,#2A271E
P05-20B,ダークイエローオレンジ,#2A271E
05-30D,ダークレッドオレンジ,#4A3832
P05-30D,ダークレッドオレンジ,#4A3832
07-20H,ダークレッドオレンジ,#3F251A
P07-20H,ダークレッドオレンジ,#3F251A
07-80H,ペールレッド,#F5B4B2
P07-80H,ペールレッド,#F5B4B2
09-90D,ペールレッドオレンジ,#FCE0D2
P09-90D,ペールレッドオレンジ,#FCE0D2
09-80F,ペールレッドオレンジ,#EABBAC
P09-80F,ペールレッドオレンジ,#EABBAC
12-90D,ホワイト,#FDFBF3
P12-90D,ホワイト,#FDFBF3
15-90A,ペールオレンジ,#FBF0E2
P15-90A,ペールオレンジ,#FBF0E2
15-92B,ペールオレンジ,#FCF4DF
P15-92B,ペールオレンジ,#FCF4DF
15-90D,ペールレッドオレンジ,#FCD8C1
P15-90D,ペールレッドオレンジ,#FCD8C1
15-80F,ライトオレンジ,#DEBA9D
P15-80F,ライトオレンジ,#DEBA9D
07-70F,ライトレッド,#C79B99
P07-70F,ライトレッド,#C79B99
09-80D,ペールレッド,#E2C8C4
P09-80D,ペールレッド,#E2C8C4
09-70H,ライトレッド,#CE988E
P09-70H,ライトレッド,#CE988E
12-80F,ペールレッドオレンジ,#E3BAA6
P12-80F,ペールレッドオレンジ,#E3BAA6
15-85A,ペールオレンジ,#E7DFD1
P15-85A,ペールオレンジ,#E7DFD1
15-90B,ペールオレンジ,#FBF0DB
P15-90B,ペールオレンジ,#FBF0DB
15-80D,ライトオレンジ,#DEC7B0
P15-80D,ライトオレンジ,#DEC7B0
15-70H,オレンジ,#C39B7E
P15-70H,オレンジ,#C39B7E
07-60H,レッド,#B17A7E
P07-60H,レッド,#B17A7E
09-70D,ソフトレッド,#C09E9B
P09-70D,ソフトレッド,#C09E9B
09-70T,レッドオレンジ,#F4795C
P09-70T,レッドオレンジ,#F4795C
12-80H,ライトレッドオレンジ,#EFB499
P12-80H,ライトレッドオレンジ,#EFB499
15-80A,ライトオレンジ,#D9D0C4
P15-80A,ライトオレンジ,#D9D0C4
15-85B,ペールオレンジ,#EEE2CF
P15-85B,ペールオレンジ,#EEE2CF
15-70D,ソフトレッドオレンジ,#BEA89A
P15-70D,ソフトレッドオレンジ,#BEA89A
15-60F,レッドオレンジ,#A78572
P15-60F,レッドオレンジ,#A78572
09-60H,レッド,#B37E75
P09-60H,レッド,#B37E75
09-60D,ソフトレッド,#A58988
P09-60D,ソフトレッド,#A58988
09-60L,レッド,#C4766B
P09-60L,レッド,#C4766B
12-70L,ライトレッドオレンジ,#D88C6F
P12-70L,ライトレッドオレンジ,#D88C6F
15-75A,ライトオレンジ,#C9C1B6
P15-75A,ライトオレンジ,#C9C1B6
15-80B,ライトオレンジ,#DECEC2
P15-80B,ライトオレンジ,#DECEC2
15-60D,ソフトレッドオレンジ,#A08E85
P15-60D,ソフトレッドオレンジ,#A08E85
15-50F,グレイッシュオレンジ,#6A5038
P15-50F,グレイッシュオレンジ,#6A5038
09-50F,ソフトレッド,#906E6B
P09-50F,ソフトレッド,#906E6B
09-60B,ソフトレッド,#9A8E8D
P09-60B,ソフトレッド,#9A8E8D
09-50L,レッドオレンジ,#A55F4F
P09-50L,レッドオレンジ,#A55F4F
12-70T,レッドオレンジ,#F58550
P12-70T,レッドオレンジ,#F58550
15-70A,ソフトオレンジ,#BAB3AA
P15-70A,ソフトオレンジ,#BAB3AA
15-75B,ライトオレンジ,#CDBFAE
P15-75B,ライトオレンジ,#CDBFAE
15-50D,ソフトオレンジ,#857366
P15-50D,ソフトオレンジ,#857366
15-40P,レッド,#6F2E22
P15-40P,レッド,#6F2E22
09-40H,ダークレッドオレンジ,#502A21
P09-40H,ダークレッドオレンジ,#502A21
09-30F,ダークレッドオレンジ,#50362C
P09-30F,ダークレッドオレンジ,#50362C
09-50T,ビビッドレッドオレンジ,#BA4932
P09-50T,ビビッドレッドオレンジ,#BA4932
12-50L,レッドオレンジ,#996040
P12-50L,レッドオレンジ,#996040
15-65A,グレー,#A49E98
P15-65A,グレー,#A49E98
15-70B,ソフトレッドオレンジ,#B8ABA2
P15-70B,ソフトレッドオレンジ,#B8ABA2
15-40D,グレイッシュオレンジ,#635544
P15-40D,グレイッシュオレンジ,#635544
15-40H,グレイッシュオレンジ,#6B5134
P15-40H,グレイッシュオレンジ,#6B5134
09-30H,ダークレッド,#311714
P09-30H,ダークレッド,#311714
09-30D,ダークレッドオレンジ,#49372F
P09-30D,ダークレッドオレンジ,#49372F
09-40L,レッドオレンジ,#7E4032
P09-40L,レッドオレンジ,#7E4032
12-50H,レッドオレンジ,#926958
P12-50H,レッドオレンジ,#926958
15-50B,グレイッシュオレンジ,#7A7570
P15-50B,グレイッシュオレンジ,#7A7570
15-60B,ソフトレッドオレンジ,#A99D95
P15-60B,ソフトレッドオレンジ,#A99D95
15-30F,ダークオレンジ,#4E3C28
P15-30F,ダークオレンジ,#4E3C28
15-30B,ダークオレンジ,#3B362B
P15-30B,ダークオレンジ,#3B362B
09-20D,ダークオレンジ,#34281E
P09-20D,ダークオレンジ,#34281E
09-20B,ダークオレンジ,#2F2B21
P09-20B,ダークオレンジ,#2F2B21
09-30L,レッドオレンジ,#643120
